"logger","datetime","max","min","mean","range","date"
"Cayo.OR3.arr3","2016-04-03 23:45:00",31.077,28.444,29.6890992063492,2.633,2016-04-03
"Drago.OR4","2016-04-03 23:45:00",30.243,28.518,29.2742991071429,1.725,2016-04-03
"Punta.IR1","2016-04-03 23:45:00",30.849,28.941,29.8879255952381,1.908,2016-04-03
"STRI.IR2","2016-04-03 23:45:00",30.041,28.941,29.4284915674603,1.1,2016-04-03
"Cristo.IR3.arr1","2016-04-03 23:45:00",31.765,28.965,30.3149900793651,2.8,2016-04-03
"Cayo.OR3.arr3","2016-04-10 23:45:00",30.444,28.543,29.4066403769841,1.901,2016-04-10
"Drago.OR4","2016-04-10 23:45:00",29.941,28.369,29.1432891865079,1.572,2016-04-10
"Punta.IR1","2016-04-10 23:45:00",30.571,29.464,29.9946160714286,1.107,2016-04-10
"STRI.IR2","2016-04-10 23:45:00",30.167,28.965,29.5397088293651,1.202,2016-04-10
"Cristo.IR3.arr1","2016-04-10 23:45:00",30.7977777777778,29.09,29.8670634920635,1.70777777777778,2016-04-10
"Cayo.OR3.arr3","2016-04-17 23:45:00",30.824,28.568,29.6997261904762,2.256,2016-04-17
"Drago.OR4","2016-04-17 23:45:00",30.621,28.816,29.6321453373016,1.805,2016-04-17
"Punta.IR1","2016-04-17 23:45:00",30.824,29.19,30.029599702381,1.634,2016-04-17
"STRI.IR2","2016-04-17 23:45:00",30.318,29.09,29.7174751984127,1.228,2016-04-17
"Cristo.IR3.arr1","2016-04-17 23:45:00",32.0977777777778,28.7422222222222,30.3902733686067,3.35555555555555,2016-04-17
"Cayo.OR3.arr3","2016-04-24 23:45:00",30.722,28.617,29.5919097222222,2.105,2016-04-24
"Drago.OR4","2016-04-24 23:45:00",29.715,28.568,29.1513814484127,1.147,2016-04-24
"Punta.IR1","2016-04-24 23:45:00",30.621,29.09,29.8307569444444,1.531,2016-04-24
"STRI.IR2","2016-04-24 23:45:00",29.966,29.015,29.4995818452381,0.951000000000001,2016-04-24
"Cristo.IR3.arr1","2016-04-24 23:45:00",30.7477777777778,29.015,29.8506134259259,1.73277777777778,2016-04-24
"Cayo.OR3.arr3","2016-05-01 23:45:00",32.227,29.59,30.9629642857143,2.637,2016-05-01
