"frag","treat","sitename","reef","T2_T0_perc","hcarb_mgcm2","scarb_mgcm2","prot_mgcm2","pam","sym_cm2","chlA"
"I2G12","High Var","SP","Inner Reef",0.328733766233779,0.222572283793893,0.106950217451914,0.0504098331343852,NA,259954.269742885,0.795179722573309
"I2H4","High Var","SP","Inner Reef",2.82751302334554,0.119111223702957,0.0805842693536264,0.0759330708930895,0.516666666666667,142667.966801041,1.64609316178029
"I2I4","High Var","SP","Inner Reef",2.69209021800591,0.0860374012999586,0.0331077033051542,0.0267983215425435,0.526666666666667,63049.6877910519,0.396264285400676
"I3G4","High Var","CI","Inner Reef",3.46210995542348,0.238713792700224,0.182074401458453,0.120638108994805,0.501333333333333,293791.740517591,3.16566721068965
"I3H8","High Var","CI","Inner Reef",0.316255534471842,0.845023209013998,0.594045577564868,0.212157932141362,NA,930004.922888887,14.5954163898249
"I3I4","High Var","CI","Inner Reef",1.01480904130944,0.362825674675465,0.146861862584128,0.265138494901301,0.582666666666667,411547.837519635,5.03127449323995
"I4H4","High Var","PD","Inner Reef",3.0059145017594,0.255692638334918,0.062497508909325,0.121901005722673,0.582333333333333,512073.065901391,1.93259788891624
"I4I4","High Var","PD","Inner Reef",0.196426308452654,0.277023019565431,0.0279115916980708,0.160314714269127,0.612333333333333,570214.407240461,2.67804851581042
"O2G4","High Var","BS","Outer Reef",0.727435837428833,0.215067164107469,0.0416219609848282,0.0677311259365641,0.474,119339.902473409,0.759414733679125
"O2I4","High Var","BS","Outer Reef",3.99942865304958,0.346549331513458,0.0979045506061137,0.263984774387837,0.627666666666667,659336.219216142,3.28624818052081
"O3G7","High Var","CA","Outer Reef",0.850748222154361,0.195631578005341,0.0493249088816684,0.0419229544373927,NA,323496.263565034,0.96125363708867
"O3H7","High Var","CA","Outer Reef",1.78207340025095,0.324313193038427,0.12575909399446,0.0979274598067685,NA,381548.125022986,5.04897334563403
"O3I13","High Var","CA","Outer Reef",-1.14945304387723,0.204388160196987,0.0504374400290029,0.0500602966276794,NA,564636.672630294,0.745148407204905
"O4H11","High Var","BN","Outer Reef",4.92913000977517,0.335747259632934,0.151852461349127,0.180844249800559,NA,605971.43831027,2.15139077453369
"O2F1","Control","BS","Outer Reef",NA,0.370680552852494,0.0209774399324452,0.0812492376743603,0.401666666666667,1890061.67900304,4.19069996689945
"I3E2","Low Var","CI","Inner Reef",NA,0.144025721787776,0.0508068731235937,0.0563541987903224,0.545666666666667,88699.0808760296,0.291659721440218
"O4E2","Low Var","BN","Outer Reef",NA,0.278123357361374,0.0834155736902414,0.144850660962355,0.548666666666667,492327.694992306,0.506298292570984
"O3F3","Mod Var","CA","Outer Reef",NA,0.19522643929907,0.0695344215836247,0.173176147226223,0.399333333333333,295502.766428686,1.07886504745395
"O2I3","Mod Var","BS","Outer Reef",NA,0.38149786490146,0.167947743438095,0.165061244157284,0.634333333333333,2359043.24092531,4.47255952250674
"O3H3","Mod Var","CA","Outer Reef",NA,0.294344982921692,0.0997104844704521,0.225073910998243,0.591333333333333,263336.006316333,1.7470463047615
"O4G7","Mod Var","BN","Outer Reef",NA,0.543411204013137,0.163432489761713,0.46529096698858,NA,699973.231358442,5.71060008440521
"O3F4","High Var","CA","Outer Reef",NA,0.212560092166974,0.0531854562830319,0.218274003469734,0.500666666666667,240415.754600234,0.709326564192825
"I3D8","High Var","CI","Inner Reef",NA,NA,NA,NA,NA,NA,1.18686516998855
